t com min rx ry rz
6.68 3.229249 1.609521 352.5902 302.0747 172.3072
6.7 3.119774 1.53538 349.3696 300.6287 174.2059
6.72 3.006375 1.46478 346.2026 299.0578 176.2086
6.74 2.889052 1.397501 343.096 297.3502 178.3294
6.76 2.767806 1.314144 340.0575 295.4927 180.5835
6.78 2.642635 1.175845 337.0961 293.4706 182.9876
6.8 2.513541 1.038438 334.222 291.2676 185.5596
6.82 2.380522 0.9019456 331.4471 288.8662 188.3183
6.84 2.243579 0.766371 328.7849 286.248 191.2836
6.86 2.102712 0.6316924 326.2509 283.3942 194.4753
6.88 1.957922 0.4978676 323.8627 280.2866 197.9128
6.9 1.809207 0.3648324 321.6398 276.9093 201.613
6.92 1.656568 0.2325015 319.6039 273.2502 205.5889
6.94 1.500006 0.1007693 317.778 269.304 209.8467
6.96 1.339519 -0.03048992 316.1863 265.0744 214.3835
6.98 1.175108 -0.1614215 314.8529 260.5773 219.1841
7 1.006851 -0.291851 313.7881 255.8467 224.2174
7.02 0.835145 -0.4204526 312.9583 250.9347 229.4389
7.04 0.6600886 -0.5480638 312.4211 245.8758 234.8214
7.06 0.4827385 -0.6707919 312.047 240.7312 240.3242
7.08 0.30493 -0.7819471 311.6071 235.4922 245.9667
7.1 0.1267426 -0.8847507 311.2793 230.1438 251.7584
7.12 -0.04899636 -0.9710078 310.8011 224.5847 257.7648
7.14 -0.2200648 -1.040315 310.0464 219.0318 263.8115
7.16 -0.3846354 -1.093396 308.9421 213.1903 270.1489
7.18 -0.5433018 -1.339241 307.9023 207.2228 276.6594
7.2 -0.695427 -1.568942 306.9222 200.9769 283.4285
7.22 -0.8430276 -1.791831 306.6064 194.7756 290.2028
7.24 -0.9858084 -2.005063 306.6203 188.4003 297.1402
7.26 -1.121042 -2.212236 307.3697 182.1796 303.9204
7.28 -1.249635 -2.408489 308.4255 175.4921 310.9722
7.3 -1.372668 -2.592917 310.0594 170.4652 316.6291
7.32 -1.488831 -2.759255 311.685 165.4276 322.1456
7.34 -1.597264 -2.898027 312.9168 161.3854 326.8066
7.36 -1.698366 -3.029028 314.5381 157.2768 331.4337
7.38 -1.793045 -3.145741 316.2156 153.3118 335.8529
7.4 -1.877776 -3.243324 318.0166 148.7114 340.5917
7.42 -1.951325 -3.326771 320.1594 144.3928 344.9804
7.44 -2.012542 -3.387089 322.1172 140.6098 348.9592
7.46 -2.065902 -3.436687 324.3333 137.1736 352.6568
7.48 -2.116899 -3.467121 326.2156 133.2375 356.5382
7.5 -2.165032 -3.501086 328.8915 129.7689 0.00683864
7.52 -2.210035 -3.632574 331.9212 125.8925 3.544669
7.54 -2.25079 -3.759176 335.6305 121.7313 6.99551
7.56 -2.292077 -3.882977 340.195 117.2521 10.32193
7.58 -2.32412 -3.97838 344.7248 113.6172 13.0925
